,Forecast,CI_Lower,CI_Upper
2026-12-16,437.9189276281195,214.037250360179,661.80060489606
2026-12-17,437.91892748631346,213.56667456285587,662.2711804097711
2026-12-18,437.91892761942574,213.09708400459658,662.7407712342549
2026-12-21,437.9189274944742,212.62847198906417,663.2093829998842
2026-12-22,437.9189276117653,212.16083292536996,663.6770222981606
2026-12-23,437.91892750166494,211.6941603079674,664.1436946953625
2026-12-24,437.9189276050153,211.22844861110408,664.6094065989265
2026-12-25,437.91892750800105,210.7636915087989,665.0741635072031
2026-12-28,437.9189275990677,210.2998835439985,665.5379716541369
2026-12-29,437.9189275135841,209.8370185600976,666.0008364670706
2026-12-30,437.9189275938269,209.37509117158692,666.4627640160668
2026-12-31,437.91892751850355,208.91409538196947,666.9237596550377
2027-01-01,437.91892758920903,208.4540258795022,667.3838292989159
2027-01-04,437.9189275228383,207.99487681935076,667.8429782263258
